,Date of Designation,City,Country,"Date of
Incident",Description
199,"March 4, 2014",Kabul,Afghanistan,"February 10, 2014",IED Explosion
200,"February 10, 2014",Guaviare,Colombia,"June 20, 2013 - October 28, 2013",Kidnapping
201,"February 4, 2014",Kabul,Afghanistan,"January 17, 2014",Suicide bombing
202,,,,,
203,"January 16, 2014", ,Syria,"April 29, 2013 - July 20, 2013",Kidnapping/Hostage release
204,"January 14, 2014",Benghazi,Libya,"December 5, 2013",Armed attack
205,"January 10, 2014", ,Syria,"December 31, 2012 – July 29, 2013",Kidnapping/Hostage release
206,"November 13, 2013",Caqueta,Colombia,"September 27, 2013",Downed aircraft
207,"November 1, 2013","Tarin Kwot, Uruzgan Province",Afghanistan,"May 20, 2012",Suicide bombing
208,"September 30, 2013",Nairobi,Kenya,"September 21, 2013",Mall attack
209,"September 25, 2013",Kabul,Afghanistan,"May 16, 2013",Suicide bombing
210,"July 26, 2013",Cairo,Egypt,"May 9, 2013",Stabbing outside the U. S. Embassy
211,"July 24, 2013",Nanga Parbat Mountain,Pakistan,"June 23, 2013",Attack on climbing expedition
212,"May 15, 2013",Zabul Province,Afghanistan,"April 6, 2013",Suicide car bombing
213,"March 23, 2013",Jerusalem, ,"March 23, 2011",Bus Stop bombing
214,"March 20, 2013", ,Yemen,"October 11, 2012",Murder
215,"February 23, 2013",Ankara,Turkey,"February 1, 2013",Suicide bombing
216,"February 19, 2013",Bogota,Colombia,"March 23, 2000 - August 14, 2000",Kidnapping
217,"January 22, 2013",Amenas,Algeria,"January 16, 2013",BP plant hostage/murder
218,"January 8, 2013",Kandahar,Afghanistan,"July 14, 2010",Armed attack
219,"November 25, 2012",Peshawar,Pakistan,"September 3, 2012",Suicide bombing
220,"November 13, 2012",Kandahar,Afghanistan,"July 11, 2011",Bombing
221,"November 13, 2012",Hodeidha,Yemen,"May 20, 2012",Armed attack
222,"September 25, 2012",Benghazi,Libya,"September 11, 2012",Attack on U.S. Consulate
223,"September 24, 2012", ,Ecuador-Colombia Border,"April 28, 1990",Kidnapping
224,"September 10, 2012",Taiz,Yemen,"March 18, 2012",Murder
225,"July 9, 2012", ,Iraq,"June 16, 2009",Bombing
226,"June 15, 2012",Baghdad,Iraq,"May 22, 2008",Convoy bombing
227,"May 22, 2012",New Delhi,India,"October 31, 1994",Kidnapping
